period_end,share_using_ai,wording,weighting,source_tag,date_precision,note
2023-09-30,0.037,original,firm,real (transcribed; secondary confirmation),month,Sep 2023 reference period
2024-02-29,0.054,original,firm,real (transcribed; secondary confirmation),month,Feb 2024 reference period
2025-09-30,0.1,original,firm,real (transcribed; secondary confirmation),month,"approximate ('~10%'), Sep 2025"
2025-11-30,0.173,business_functions,firm,real (transcribed; secondary confirmation),month,Nov 2025; first reading after the 17 Nov 2025 wording change
2026-01-31,0.18,business_functions,firm,real (transcribed; secondary confirmation),period,"Nov 2025-Jan 2026 pooled, firm-weighted"
2026-01-31,0.32,business_functions,employment,real (transcribed; secondary confirmation),period,"Nov 2025-Jan 2026 pooled, employment-weighted"
2026-05-03,0.198,business_functions,firm,real (transcribed; secondary confirmation),day,"period ending 3 May 2026; sector cuts: Information 39.7%, Finance and Insurance 33.9%"
