iso3,region_id,name,population,gdp_bn_usd,source_tag,continent,subregion,pop_year,gdp_year
MNE,"",Montenegro,622137,5.542,real:natural_earth_admin0_50m,Europe,Southern Europe,2019,2019
MNG,RoA,Mongolia,3225167,13.996,real:natural_earth_admin0_50m,Asia,Eastern Asia,2019,2019
MNP,"",N. Mariana Is.,57216,1.323,real:natural_earth_admin0_50m,Oceania,Micronesia,2019,2018
MOZ,"",Mozambique,30366036,15.291,real:natural_earth_admin0_50m,Africa,Eastern Africa,2019,2019
MRT,"",Mauritania,4525696,7.6,real:natural_earth_admin0_50m,Africa,Western Africa,2019,2019
MSR,"",Montserrat,4649,0.044,real:natural_earth_admin0_50m,North America,Caribbean,2019,2006
MUS,"",Mauritius,1265711,14.048,real:natural_earth_admin0_50m,Seven seas (open ocean),Eastern Africa,2019,2019
MWI,"",Malawi,18628747,7.666,real:natural_earth_admin0_50m,Africa,Eastern Africa,2019,2019
MYS,RoA,Malaysia,31949777,364.681,real:natural_earth_admin0_50m,Asia,South-Eastern Asia,2019,2019
NAM,"",Namibia,2494530,12.366,real:natural_earth_admin0_50m,Africa,Southern Africa,2019,2019
NCL,"",New Caledonia,287800,10.77,real:natural_earth_admin0_50m,Oceania,Melanesia,2019,2016
NER,"",Niger,23310715,12.911,real:natural_earth_admin0_50m,Africa,Western Africa,2019,2019
NFK,"",Norfolk Island,2169,0.032,real:natural_earth_admin0_50m,Oceania,Australia and New Zealand,2011,2016
NGA,"",Nigeria,200963599,448.12,real:natural_earth_admin0_50m,Africa,Western Africa,2019,2019
NIC,"",Nicaragua,6545502,12.52,real:natural_earth_admin0_50m,North America,Central America,2019,2019
NIU,"",Niue,1620,0.01,real:natural_earth_admin0_50m,Oceania,Polynesia,2018,2003
NLD,EU,Netherlands,17332850,907.05,real:natural_earth_admin0_50m,Europe,Western Europe,2019,2019
NOR,"",Norway,5347896,403.336,real:natural_earth_admin0_50m,Europe,Northern Europe,2019,2019
NPL,RoA,Nepal,28608710,30.641,real:natural_earth_admin0_50m,Asia,Southern Asia,2019,2019
NRU,"",Nauru,12581,0.118,real:natural_earth_admin0_50m,Oceania,Micronesia,2019,2019
NZL,"",New Zealand,4917000,206.928,real:natural_earth_admin0_50m,Oceania,Australia and New Zealand,2019,2019
OMN,"",Oman,4974986,76.331,real:natural_earth_admin0_50m,Asia,Western Asia,2019,2019
