from_sector,11,21,22,23,31-33,42,44-45,48-49,51,52,53,54,55,56,61,62,71,72,81,92
11,0.29066711253344,0.00028474053566265693,0.0,0.0013924672822012544,0.061273179211585004,0.0004464711853049372,0.0010071226722901969,0.000035728042605690806,0.0,0.0,3.3962050125948265e-7,0.0004120143500451882,0.00008412689139452007,0.0010422400040465002,0.0007605654885318457,0.0,0.0015886930918667791,0.01001210118709814,0.00010612361166577765,0.0024703327110604215
21,0.003100232517438808,0.11651582719315921,0.0652976113578922,0.01394261185084136,0.06474092558300694,0.000039931409247886204,0.00007954092618087607,0.0004555325432225578,0.0010446497926023964,0.0,0.000033112998872799555,0.0005636565070287445,0.00007477945901735117,0.0009989797229079161,0.005026609678195842,0.0003267910767010553,0.0035158388447482504,0.0009103588869862381,0.001767795952222033,0.008138576894678498
22,0.01901705127884591,0.018224854490285238,0.055727805437133765,0.005885197391107105,0.010555032150158905,0.005963090447684339,0.015102882824343956,0.009603586202276547,0.007189960162558253,0.002757271147710468,0.007851856178868608,0.0028577152948947044,0.005946135420926564,0.004885749597513,0.016062900384126028,0.006740345743840002,0.012459866542382412,0.02161471445260902,0.00990021587776794,0.010268325273385618
23,0.003375253143985799,0.00870721955977653,0.008223275596498027,0.0002471599527525845,0.003079189962583509,0.0021152237927308864,0.004400473130006676,0.005421172214747866,0.002364366734506474,0.002869604416691265,0.024651184273668917,0.001084980786677758,0.0012899456680493077,0.000981010067665735,0.004707010350568098,0.001811060479011927,0.0025633627768653737,0.004612115713446844,0.007052565631402908,0.025618373428428962
31-33,0.20741086831512365,0.13215757395222785,0.04246125205788921,0.3428379623336205,0.3685774066406007,0.0652254850620401,0.03652194834905091,0.0962742350570253,0.04373719017582731,0.009066413276528037,0.013287482301526628,0.064244953983999,0.04570543903721447,0.08131468659922944,0.04490572831225259,0.09220796335015692,0.04542478583159483,0.12062347581055179,0.07746278924502359,0.1315903479423426
42,0.002061092081906143,0.0011126784008971518,0.0023833421114522984,0.0000637832136135702,0.003939162926822955,0.018795143884276493,0.008976648604412898,0.00022888277294270674,0.0011180514803115107,0.00001969479391221763,0.0026745114474184257,0.00011974801306732071,0.0,0.0001031591319458541,0.00004247839164672542,0.000048682917248273645,0.0001017207451137053,0.00008063354577092441,0.00008471270755776987,7.491393576440627e-6
44-45,0.0,0.0,0.0,0.0,0.0,0.0,0.0008084682198384567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.309088742612074e-7,0.0
48-49,0.0021470360277020778,0.0021187616269052064,0.014237115211983292,0.0007984861054248819,0.004741175992278391,0.05526659159561728,0.04413215507235652,0.1174308187862514,0.006873273499607074,0.006007155288830232,0.006763032851830707,0.009977937950812851,0.0016124320850616346,0.016555376820342714,0.005390710178024917,0.01008687662433771,0.013943139952949532,0.006630416450720593,0.004102515408869141,0.01366850437250717
51,0.0008438132859964497,0.0011521040135273658,0.010007055620149261,0.005488545531447716,0.0037756935035534902,0.008630508585443139,0.017262359611254607,0.006101679776253133,0.124243328864911,0.017279385483526644,0.005134892168792747,0.023461042318019987,0.00542151077875796,0.04551913335680481,0.019600743574131874,0.009096990640289479,0.013735999526536168,0.029306908509855144,0.020548882490441893,0.03391335600363022
52,0.018262307173037978,0.036427805862442576,0.01840920609367081,0.007801882960194889,0.010768020710253541,0.039796022755579086,0.019123854719487646,0.0552361121190637,0.018219887998105175,0.2722973028830747,0.07279035260419302,0.01613408762017206,0.05713734883449203,0.018429545307823522,0.011473211305725076,0.03088203653513046,0.027005933093642267,0.03512975845636617,0.023262481858913314,0.02025015042170151
53,0.009703852788959171,0.02147381701258991,0.01653101988492383,0.03153442081054911,0.012896640196906095,0.07034202963366926,0.10983850026177275,0.06528071634725424,0.046131447288318424,0.03591892747501557,0.051513467820787695,0.048642628726939446,0.1077385055792487,0.0390720203815823,0.10922205882650408,0.07731910449172656,0.11530878719280335,0.09116391753465704,0.11665870739579173,0.012600523995573135
54,0.007284921369102683,0.025584302181258525,0.040692378273989936,0.04641464590150995,0.018077439207873882,0.08504971840750497,0.07384761620592947,0.018966566367630392,0.08899614111436627,0.06558463631010013,0.02413784788601521,0.09073507013377274,0.0875258514926681,0.0655320049543005,0.03610056455805279,0.047392260367432916,0.06832305029073639,0.03869179150504052,0.06375236334490453,0.0665327108046177
55,0.0,0.06784125788147201,0.00015899989068757515,0.009784743613406753,0.014471264340327021,0.055543449366402625,0.02386346503226552,0.01141176010852393,0.006798736734252973,0.009943196324027502,0.014261174278637564,0.009087801388787006,0.00004206344569726004,0.01937860932172538,0.021900645064718866,0.023833645435598797,0.013183008566736206,0.06291263139882583,0.012105539000892741,0.000026676669808788573
56,0.0010407030527289547,0.0038593294141353964,0.013211897166820698,0.005766002510666746,0.007026371613267359,0.028959398883974155,0.015392554257002668,0.03493141890571704,0.037107958369892294,0.01447470094306454,0.06018890371521055,0.03467531326573128,0.022347373955716537,0.06634995703921312,0.018906929843902024,0.03504414617297712,0.022330477754597778,0.01515295137243219,0.020070395329071632,0.023306090850139786
61,3.1252343925794434e-6,0.0,3.3124977226578156e-6,0.0,1.4067936598060622e-7,0.0006624810943792168,0.0013316179930280994,0.00007257258654280945,1.5134368599817404e-6,0.000011914134588872394,0.0,0.0,0.0,0.000220960205200152,0.005437234130780854,1.6787212844232292e-6,0.013120126651575007,0.0,0.00427845718610451,0.002610842019847808
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00004349201443123028,0.0,0.00007187862096872415,0.0,0.011174408229763224,0.0003994851080829153,0.0,0.00007819634543794143,0.005898832932239249
71,0.00042190664299822486,0.0001051349670139041,0.0005233746401799348,0.0005620895699695874,0.00025406693496097486,0.0034877233734510894,0.0018155908921286537,0.00040919773796830255,0.018655379454564924,0.0023543788821234974,0.0019317614111639373,0.004255258691951571,0.010132616696851084,0.0038461717646134895,0.004446071659023928,0.0029027888876485,0.07887611522926007,0.006195241512857665,0.0032842465083935397,0.0021920548472331267
72,0.0008719403955296648,0.0007928928762298601,0.005026715294133235,0.0006836763209204556,0.0009950251555808278,0.006456338426679658,0.003731696188485877,0.009143587653728276,0.0038815871866381686,0.009008058331602948,0.015129753710608691,0.014434129749436706,0.00879943915405737,0.014170737015426616,0.0073285339493374384,0.02672524284801781,0.007880583544172697,0.019247412032494703,0.003549555537557984,0.00876547863518503
81,0.0007078655899192439,0.0007563876793500322,0.0014889677263346883,0.004855098491247946,0.002444726022010975,0.009726910993649385,0.00641392702258527,0.011054479682467021,0.003858507274523447,0.00472991143178234,0.007665234713426523,0.004762955473745466,0.009048314541099492,0.019101077979651694,0.00834194700719503,0.007300199292195149,0.007299850562978088,0.010041646303105807,0.009124768785508355,0.016098091211188416
92,0.00002031402355176638,5.8408315007724495e-6,0.0016065613954890407,4.783741021017765e-6,0.0007655771096664591,0.009063289001863085,0.003964778803015907,0.004327000909948585,0.001028758705572588,0.0013431363156924713,0.0017692530013112748,0.0015552744360607948,0.0008996903663025063,0.002962330943812881,0.0016081105409117482,0.0027393933492979726,0.0017440484116768018,0.008505915793957285,0.002062894065362836,0.0034317891256758016
